,jogo,nota_publica,nota_critica,reviews_publica,reviews_critca,genero,empresa,gap
55,bleeding-edge,63,66,Based on 593 User Ratings,Based on 44 Critic Reviews,Third Person Shooter,Xbox Game Studios,3
56,smite,68,80,Based on 219 User Ratings,Based on 21 Critic Reviews,MOBA,Hi-Rez Studios,12
57,devil-may-cry-5,80,87,"Based on 1,788 User Ratings",Based on 64 Critic Reviews,Action Adventure,Capcom,7
58,bayonetta-3,78,86,Based on 859 User Ratings,Based on 125 Critic Reviews,Linear Action Adventure,Nintendo,8
59,metal-gear-rising-revengeance,83,80,"Based on 1,497 User Ratings",Based on 61 Critic Reviews,Action Adventure,Konami,3
60,hades,85,93,"Based on 5,002 User Ratings",Based on 58 Critic Reviews,Action RPG,Supergiant Games,8
61,hades-ii,86,95,"Based on 1,539 User Ratings",Based on 54 Critic Reviews,Action RPG,Supergiant Games,9
62,dead-cells,83,89,"Based on 1,364 User Ratings",Based on 36 Critic Reviews,Metroidvania,Motion Twin,6
63,nier-automata,88,88,"Based on 4,915 User Ratings",Based on 101 Critic Reviews,Action RPG,Square Enix,0
64,astral-chain,90,87,"Based on 3,639 User Ratings",Based on 92 Critic Reviews,Action Adventure,Nintendo,3
65,vanquish,76,84,Based on 447 User Ratings,Based on 70 Critic Reviews,Third Person Shooter,Sega,8
66,hi-fi-rush,88,87,"Based on 3,529 User Ratings",Based on 56 Critic Reviews,Action Adventure,Bethesda Softworks,1
67,darkest-dungeon,79,84,"Based on 1,193 User Ratings",Based on 56 Critic Reviews,RPG,Red Hook Studios,5
68,darkest-dungeon-ii,62,81,Based on 257 User Ratings,Based on 55 Critic Reviews,Roguelike,Red Hook Studios,19
69,rain-world,85,59,Based on 349 User Ratings,Based on 18 Critic Reviews,2D Platformer,Adult Swim,26
70,pathologic-2,86,70,Based on 391 User Ratings,Based on 28 Critic Reviews,Survival,tinyBuild,16
71,metro-exodus,74,82,"Based on 5,480 User Ratings",Based on 53 Critic Reviews,FPS,Deep Silver,8
72,grim-dawn,84,83,Based on 927 User Ratings,Based on 29 Critic Reviews,Action RPG,Crate Entertainment,1
73,armored-core-vi-fires-of-rubicon,81,86,"Based on 1,352 User Ratings",Based on 76 Critic Reviews,Vehicle Combat Sim,Bandai Namco Games,5
74,katana-zero,85,83,Based on 694 User Ratings,Based on 37 Critic Reviews,2D Platformer,Devolver Digital,2
75,hotline-miami,85,85,"Based on 2,698 User Ratings",Based on 51 Critic Reviews,Top-Down Shoot-'Em-Up,Devolver Digital,0
76,enter-the-gungeon,78,82,Based on 420 User Ratings,Based on 33 Critic Reviews,Top-Down Shoot-'Em-Up,Devolver Digital,4
77,risk-of-rain-2,83,85,Based on 686 User Ratings,Based on 18 Critic Reviews,Third Person Shooter,Hopoo Games,2
78,granblue-fantasy-relink,81,80,Based on 443 User Ratings,Based on 73 Critic Reviews,Action RPG,Cygames,1
79,god-eater-3,72,71,Based on 87 User Ratings,Based on 60 Critic Reviews,Action RPG,Bandai Namco Games,1
80,toukiden-2,74,77,Based on 105 User Ratings,Based on 46 Critic Reviews,Action RPG,Koei Tecmo Games,3
81,dauntless,53,78,Based on 293 User Ratings,Based on 15 Critic Reviews,Action RPG,Phoenix Labs,25
82,hellblade-senuas-sacrifice,77,81,"Based on 2,418 User Ratings",Based on 68 Critic Reviews,Action Adventure,Ninja Theory,4
83,exoprimal,54,67,Based on 130 User Ratings,Based on 52 Critic Reviews,Tactical Third Person Shooter,Capcom,13
84,warframe,72,64,Based on 913 User Ratings,Based on 25 Critic Reviews,Third Person Shooter,Digital Extremes,8
85,destiny-2,52,85,"Based on 3,065 User Ratings",Based on 95 Critic Reviews,FPS,Activision,33
86,shadow-of-the-colossus,79,91,"Based on 3,547 User Ratings",Based on 100 Critic Reviews,Action Adventure,Sony Interactive Entertainment,12
87,dragons-dogma-dark-arisen,79,81,Based on 900 User Ratings,Based on 62 Critic Reviews,Action RPG,Capcom,2
